turn,x_m,xp_rad,y_m,yp_rad,z_m,dE_GeV,action_x,action_x_normalised
1138.0,0.0046255056571885885,0.00021980558677541233,9.073491694054586e-14,1.7256940283123554e-14,4.375795043039871,-3.547583499998148e-06,7.65391427910096e-06,1.3949245557868775
1139.0,0.004631768847595354,-0.0011127585405802864,2.7969363820373504e-13,-2.8714312907150894e-15,4.341273433956899,-3.56664060505486e-06,7.052082901973441e-06,1.2852408912218727
1140.0,-0.010174469086233729,0.0010353735933533968,2.2183413596476466e-13,-2.0803152517704485e-14,4.308582957470316,-3.585554207092415e-06,8.093931414198136e-06,1.4751176026818495
1141.0,0.0044804508431715686,0.00023686111224176798,-3.151492490190406e-14,-1.982773114687208e-14,4.27956458820444,-3.6043404257434857e-06,7.594602711241942e-06,1.3841150327857283
1142.0,0.004779465378509306,-0.0011162043287419041,-2.514308010590846e-13,-2.4192619151675906e-15,4.244589395977795,-3.622973112044479e-06,6.973820141752789e-06,1.2709775166850634
1143.0,-0.010130954718160652,0.0010100699142317334,-2.5922357836906046e-13,1.761331356153933e-14,4.211318960644945,-3.64145974945197e-06,8.022528887462597e-06,1.4621045045131658
1144.0,0.004152934956451665,0.0002800418154581988,-4.759058204337619e-14,2.2758198681368155e-14,4.1818142683118955,-3.6598168686362927e-06,7.556360994746182e-06,1.3771454865574628
1145.0,0.005104833054199064,-0.0011288620923456802,2.0263886997874185e-13,8.55986168128585e-15,4.146445172271941,-3.6780187263312735e-06,6.904755504336201e-06,1.2583904984410819
1146.0,-0.010072564731171135,0.0009666902840162169,2.820273587129809e-13,-1.2299167902375194e-14,4.112535478877997,-3.696071728949678e-06,7.954194118110372e-06,1.44965050459789
1147.0,0.0036274369633974173,0.0003500368825581114,1.3199804340833339e-13,-2.3484192439717096e-14,4.082574574169618,-3.7139932106866393e-06,7.548739103341472e-06,1.3757563981650045
1148.0,0.005602571353101965,-0.0011484730130704925,-1.3049989925198471e-13,-1.5146108316065718e-14,4.0468777274802425,-3.7317579921908455e-06,6.854597766047281e-06,1.2492492592985178
1149.0,-0.009972537742994636,0.0009021912558229368,-2.992378487421651e-13,5.856362718866281e-15,4.012269463026282,-3.7493708520661653e-06,7.896229153505404e-06,1.4390863998072776
1150.0,0.0028858011641465825,0.0004465882263514321,-2.1847238824883124e-13,2.2276569949442185e-14,3.9818733460706977,-3.7668502805870793e-06,7.582326959048263e-06,1.381877779068049
