turn,n_macroparticles,intensity,epsn_x,epsn_y,eps_z,mean_x_m,mean_y_m,mean_z_m
3100.0,1000.0,1950000000.0,5.488169599122648e-07,4.841909394733083e-07,4.947266739115029e-06,0.00019724952968815405,0.00013558883759726866,0.07325990837375417
3200.0,1000.0,1950000000.0,5.489773214816905e-07,4.875647066728735e-07,4.947384050764874e-06,-0.00011529752430385728,0.0002121464360672327,0.08601388211908303
3300.0,1000.0,1950000000.0,5.608779662904142e-07,4.7867722148722e-07,4.9475259525295885e-06,-4.2798903570720394e-05,2.3749824293071213e-07,0.0660671564625533
3400.0,1000.0,1950000000.0,5.591572792307155e-07,4.77808360702128e-07,4.947262690808608e-06,-0.00022325858971025708,-0.00032526559793922405,0.02111841089756307
3500.0,1000.0,1950000000.0,5.66356693341553e-07,4.665556438553709e-07,4.946856606644257e-06,-0.0001946780449026732,0.00026356640639342116,-0.031885507872522784
3600.0,1000.0,1950000000.0,5.600893681276727e-07,4.7648729630639245e-07,4.946700419117117e-06,0.00014054162566118957,6.714448549552889e-06,-0.07274391044015725
3700.0,1000.0,1950000000.0,5.572876517387602e-07,4.782819815548926e-07,4.9467042162256365e-06,0.00014048163782177524,-9.01679461734536e-05,-0.08601610875981697
3800.0,1000.0,1950000000.0,5.609949335889091e-07,4.789775560419685e-07,4.9468144422037016e-06,6.500299693141581e-05,-0.00017436168217267387,-0.06660612128813985
3900.0,1000.0,1950000000.0,5.618426785411637e-07,4.931087867856426e-07,4.94693602862696e-06,7.810379031904822e-05,0.00011149665732218051,-0.02201383439956897
4000.0,1000.0,1950000000.0,5.596334513879348e-07,4.933419592382226e-07,4.947356646488024e-06,8.210839450467515e-05,1.116997972693738e-05,0.03087660134473245
4100.0,1000.0,1950000000.0,5.602951396155576e-07,4.857387557259292e-07,4.9474348110637185e-06,0.00020628736355553565,0.0002702935376791605,0.07207196146116006
4200.0,1000.0,1950000000.0,5.664585824177111e-07,4.86843501777933e-07,4.947205437251414e-06,-0.00021453475496810924,-0.0005252106785812638,0.08581184795054307
4300.0,1000.0,1950000000.0,5.732116541817295e-07,4.87326488775816e-07,4.946800867322631e-06,-0.00012470084308058115,0.00033290273919219556,0.0668103983540912
4400.0,1000.0,1950000000.0,5.689355517744858e-07,4.934747192674122e-07,4.9462247391569885e-06,0.00024155158377139245,8.97193102641875e-05,0.0223457742274756
4500.0,1000.0,1950000000.0,5.625820629044844e-07,4.926317607407015e-07,4.94550052453982e-06,6.951023776223825e-05,6.528720701967739e-05,-0.030659761510271354
4600.0,1000.0,1950000000.0,5.665693586335045e-07,4.952577737888387e-07,4.9451693091972656e-06,-0.0005014063941271628,0.0005798260103180372,-0.07213569805858704
4700.0,1000.0,1950000000.0,5.714533915022383e-07,4.952563289843438e-07,4.94564856496501e-06,5.369919114069883e-05,0.00018899357998245343,-0.08619512135751564
4800.0,1000.0,1950000000.0,5.734067570172527e-07,4.929538386576199e-07,4.945835343222927e-06,8.395883793419263e-05,-0.00016952122020952271,-0.06746801904110646
4900.0,1000.0,1950000000.0,5.642256058916005e-07,4.956853499826963e-07,4.946560181861441e-06,0.00011352610804065139,-0.00011955058667932797,-0.023019000264331492
5000.0,1000.0,1950000000.0,5.653941066125744e-07,5.081679716840954e-07,4.947070355567377e-06,-0.00013004615391043814,-0.00022269998086824758,0.030266885906922204
5100.0,1000.0,1950000000.0,5.655409711574568e-07,5.078172636618653e-07,4.947324697779843e-06,8.847987229035666e-06,-0.0001493499866932942,0.07189671707076689
5200.0,1000.0,1950000000.0,5.780637635795463e-07,4.995341602240919e-07,4.94735524993307e-06,-3.742972811107476e-05,-0.00034010023289108936,0.08602395367849121
5300.0,1000.0,1950000000.0,5.877191586427012e-07,5.056115121379987e-07,4.947350193416538e-06,4.2455983090108505e-05,-8.748182216963548e-05,0.06722996991704291
5400.0,1000.0,1950000000.0,5.921302747373982e-07,4.939099884187722e-07,4.947399488432854e-06,-0.00016280590676175487,9.902864376248118e-05,0.022873666519710623
5500.0,1000.0,1950000000.0,5.844891297644044e-07,4.861654888664803e-07,4.946925638025256e-06,-0.00021815163446886184,0.00013637534346321197,-0.029927326990767632
5600.0,1000.0,1950000000.0,5.866178888724325e-07,4.897207260797143e-07,4.946694354053429e-06,-0.00010330244914263675,-3.4550828355699903e-05,-0.07125086931825646
5700.0,1000.0,1950000000.0,5.847898606613133e-07,5.007309604511381e-07,4.9465364126247185e-06,2.448642677637056e-05,-1.706193073597474e-05,-0.08558044219890104
5800.0,1000.0,1950000000.0,5.875314102007812e-07,5.015143506505504e-07,4.94683717445336e-06,0.00023883796960841866,-7.03538506730348e-05,-0.06754170752886232
5900.0,1000.0,1950000000.0,5.881418721099881e-07,4.966554862554661e-07,4.946926283106298e-06,-7.188503085864064e-05,0.00014298176628298317,-0.023816957177849755
6000.0,1000.0,1950000000.0,5.882682436353703e-07,5.027498941296724e-07,4.947004912825786e-06,0.00022901275220587586,0.00011692167869308578,0.029019220114691553
6100.0,1000.0,1950000000.0,5.876338083564648e-07,5.02280624971791e-07,4.946605542006128e-06,0.00015486168686570904,-0.00019948259947941805,0.07077965577015102
6200.0,1000.0,1950000000.0,5.900189376361281e-07,5.010316973140826e-07,4.9458831511192156e-06,-0.00021416572493169114,0.00026913453555756344,0.08544148782785296
6300.0,1000.0,1950000000.0,5.964179445584525e-07,4.957422183427793e-07,4.945161278944505e-06,0.000142327116499482,0.00018587008515591052,0.06760801919254432
6400.0,1000.0,1950000000.0,5.956766477672626e-07,4.984441953926941e-07,4.944613800139644e-06,-9.131288773529375e-05,3.1362321340235544e-05,0.024107961693695553
6500.0,1000.0,1950000000.0,6.002421947181602e-07,4.969266622751416e-07,4.944706320967163e-06,-0.0003894715823295513,-0.0001707447333347571,-0.02861535921401685
6600.0,1000.0,1950000000.0,6.027215848304954e-07,5.06510864192552e-07,4.945003630178911e-06,-2.5370769900443683e-05,0.00017647089066877582,-0.07074636352972057
6700.0,1000.0,1950000000.0,5.963748455701058e-07,5.161939020007009e-07,4.945514456977562e-06,-8.867429283919427e-05,0.00017763840805417444,-0.08614495602212834
6800.0,1000.0,1950000000.0,5.993819798012212e-07,5.020317742892984e-07,4.946212166548944e-06,0.0001752586805156865,0.00023208980676705913,-0.06848969273355067
6900.0,1000.0,1950000000.0,6.036178827362825e-07,5.030081727970621e-07,4.946635784910519e-06,5.172674157692287e-05,-8.810627698865731e-05,-0.024780390766151045
7000.0,1000.0,1950000000.0,6.064787479210239e-07,5.055694619965279e-07,4.946456502125234e-06,0.0004301833273763286,-0.00018525090497510508,0.028415929707981253
7100.0,1000.0,1950000000.0,6.030404418185261e-07,5.140400915774607e-07,4.946012192122906e-06,0.00039658730574553176,-0.00015995761101778787,0.07065029023001342
7200.0,1000.0,1950000000.0,6.029594821087026e-07,5.082748542051957e-07,4.944678948349177e-06,0.0003739681165640974,-7.268890398477832e-05,0.08601683055701236
7300.0,1000.0,1950000000.0,6.031100512945078e-07,5.063356657548396e-07,4.944011133103278e-06,0.00037964081560701134,-0.00014025246802557066,0.06880236222950573
7400.0,1000.0,1950000000.0,6.04264350913966e-07,5.045128242218841e-07,4.943466271145552e-06,0.000559628476447351,7.088070305863137e-05,0.02528694466277302
7500.0,1000.0,1950000000.0,6.118779402139072e-07,5.119104014908168e-07,4.942979677828951e-06,-0.00039296443369189407,-1.2014356254934148e-05,-0.02799141842718945
7600.0,1000.0,1950000000.0,6.196154008764297e-07,5.102686190699964e-07,4.942900911453234e-06,-0.00012409331547981096,4.643763134596498e-05,-0.07061308310900842
7700.0,1000.0,1950000000.0,6.106053968230466e-07,5.171642055521789e-07,4.94383867386369e-06,2.5573294697088175e-05,-4.92136718206549e-05,-0.0864719295298777
7800.0,1000.0,1950000000.0,6.172888972405822e-07,5.190000131752497e-07,4.94509863290378e-06,-3.4536728446695545e-05,-0.0002872097429825061,-0.0696183541684867
7900.0,1000.0,1950000000.0,6.188425660883877e-07,5.040479845710474e-07,4.94601423970399e-06,-0.00021856011974753895,-0.00038853073343417797,-0.025953541849394524
8000.0,1000.0,1950000000.0,6.196772225819234e-07,5.069674664946073e-07,4.946197469741596e-06,-0.0002294877250810895,-0.0002747572066019948,0.02762372624733879
8100.0,1000.0,1950000000.0,6.188401110875548e-07,5.087659812316394e-07,4.945354113610118e-06,1.4313061978198463e-05,-2.885660772391322e-05,0.07068063927151418
8200.0,1000.0,1950000000.0,6.22921044489236e-07,5.193609458424168e-07,4.944254918172628e-06,0.00038193239021523797,-0.00011237113052225139,0.08657248048851955
8300.0,1000.0,1950000000.0,6.184782933510449e-07,5.196277315974285e-07,4.943262857391245e-06,-5.508828094626983e-05,-0.00017061769807149267,0.06948786030939555
8400.0,1000.0,1950000000.0,6.319382990252629e-07,5.025569197725382e-07,4.942884241099416e-06,-9.226241344700969e-05,-0.0001708387688865586,0.02613631460930824
8500.0,1000.0,1950000000.0,6.355306638580497e-07,5.053034467790086e-07,4.942673860837445e-06,-0.0003389291040208742,1.0400004820136885e-06,-0.027369461540627985
8600.0,1000.0,1950000000.0,6.445475164391002e-07,4.999440578585138e-07,4.942661414029208e-06,9.765220268224767e-05,-0.0003248572215615934,-0.07024399586281127
8700.0,1000.0,1950000000.0,6.321173538248795e-07,5.017862636383133e-07,4.943208716129938e-06,0.00020437529637162456,0.0004010438766323719,-0.08645850894428807
8800.0,1000.0,1950000000.0,6.315812022942686e-07,5.143674925348607e-07,4.943414964819222e-06,-0.0001502771344495268,-4.610678521493384e-05,-0.06992480665956188
8900.0,1000.0,1950000000.0,6.329988966261453e-07,5.173212063419904e-07,4.94381766021379e-06,-9.938843523017205e-06,-7.50010857131757e-05,-0.026771686575115618
9000.0,1000.0,1950000000.0,6.324148860867035e-07,5.204171635585986e-07,4.943918571459611e-06,0.00016867060731675114,8.77946605536292e-05,0.026434464571982185
9100.0,1000.0,1950000000.0,6.35608165887666e-07,5.106570570971018e-07,4.94369493871891e-06,-0.0003232059879222237,-0.00020034752072439828,0.06949380111677325
9200.0,1000.0,1950000000.0,6.368706477845577e-07,5.174100540923435e-07,4.943044258384518e-06,-0.00016862978430162858,0.0004977463314854993,0.08610311416138368
9300.0,1000.0,1950000000.0,6.468025136577665e-07,5.166148064394547e-07,4.942463377999313e-06,0.00016008039599058472,-9.910658286543541e-05,0.06978880290296237
9400.0,1000.0,1950000000.0,6.50504636593967e-07,5.15488196707749e-07,4.942362970120957e-06,0.0001474553891205002,-3.9286001111933174e-05,0.027011489292242424
9500.0,1000.0,1950000000.0,6.309485943407446e-07,5.219827112891045e-07,4.942157181875054e-06,-8.414614344722003e-05,0.00022739079625051618,-0.026025469642104553
9600.0,1000.0,1950000000.0,6.359979007574153e-07,5.29045418381116e-07,4.94237761596814e-06,-5.327987456684265e-05,0.00018477729707263573,-0.0693212435767075
